site,id,sex,agecat1,birthplace,ethn1,christian,edu,magic,name,category,y,ver
0,BEV001,1,1,Forest,2,0,0,1,b10_A,Social Organization & Gender,1,1
0,BEV001,1,1,Forest,2,0,0,1,b11_A,Social Organization & Gender,1,1
0,BEV001,1,1,Forest,2,0,0,1,b13_A,Social Organization & Gender,NA,1
0,BEV001,1,1,Forest,2,0,0,1,c1_A,Foraging Knowledge,0,1
0,BEV001,1,1,Forest,2,0,0,1,c2_A,Foraging Knowledge,0,1
0,BEV001,1,1,Forest,2,0,0,1,c3_A,Foraging Knowledge,0,1
0,BEV001,1,1,Forest,2,0,0,1,c5_A,Maritime Knowledge,NA,1
0,BEV001,1,1,Forest,2,0,0,1,c6_A,Agricultural Knowledge,4.5,1
0,BEV001,1,1,Forest,2,0,0,1,c7_A,Agricultural Knowledge,0,1
0,BEV001,1,1,Forest,2,0,0,1,c8_A,Agricultural Knowledge,0,1
0,BEV001,1,1,Forest,2,0,0,1,c10_A,Maritime Knowledge,NA,1
0,BEV001,1,1,Forest,2,0,0,1,d1_A,Supernatural,1,1
0,BEV001,1,1,Forest,2,0,0,1,d2_A,Supernatural,1,1
0,BEV001,1,1,Forest,2,0,0,1,d3_A,Supernatural,0,1
0,BEV001,1,1,Forest,2,0,0,1,d4_A,Supernatural,0,1
0,BEV001,1,1,Forest,2,0,0,1,d5_A,Food Taboos,0,1
0,BEV001,1,1,Forest,2,0,0,1,d6_A,Food Taboos,1,1
0,BEV001,1,1,Forest,2,0,0,1,d7_A,Food Taboos,0,1
0,BEV001,1,1,Forest,2,0,0,1,d8_A,Food Taboos,0,1
0,BEV001,1,1,Forest,2,0,0,1,d9_A,Food Taboos,1,1
0,BEV110,1,1,Forest-Savanna edge,2,0,2,1,b1_A,Social Organization & Gender,1,1
0,BEV110,1,1,Forest-Savanna edge,2,0,2,1,b2_A,Social Organization & Gender,1,1
0,BEV110,1,1,Forest-Savanna edge,2,0,2,1,b3_A,Social Organization & Gender,1,1
0,BEV110,1,1,Forest-Savanna edge,2,0,2,1,b4_A,Social Organization & Gender,0,1
0,BEV110,1,1,Forest-Savanna edge,2,0,2,1,b5_A,Social Organization & Gender,0,1
0,BEV110,1,1,Forest-Savanna edge,2,0,2,1,b6_A,Social Organization & Gender,1,1
0,BEV110,1,1,Forest-Savanna edge,2,0,2,1,b7_A,Social Organization & Gender,1,1
0,BEV110,1,1,Forest-Savanna edge,2,0,2,1,b8_A,Social Organization & Gender,1,1
0,BEV110,1,1,Forest-Savanna edge,2,0,2,1,b9_A,Social Organization & Gender,0,1
0,BEV110,1,1,Forest-Savanna edge,2,0,2,1,b10_A,Social Organization & Gender,1,1
0,BEV110,1,1,Forest-Savanna edge,2,0,2,1,b11_A,Social Organization & Gender,0,1
0,BEV110,1,1,Forest-Savanna edge,2,0,2,1,b13_A,Social Organization & Gender,NA,1
0,BEV110,1,1,Forest-Savanna edge,2,0,2,1,c1_A,Foraging Knowledge,1,1
0,BEV110,1,1,Forest-Savanna edge,2,0,2,1,c2_A,Foraging Knowledge,0,1
0,BEV110,1,1,Forest-Savanna edge,2,0,2,1,c3_A,Foraging Knowledge,0,1
0,BEV110,1,1,Forest-Savanna edge,2,0,2,1,c5_A,Maritime Knowledge,NA,1
0,BEV110,1,1,Forest-Savanna edge,2,0,2,1,c6_A,Agricultural Knowledge,4.5,1
0,BEV110,1,1,Forest-Savanna edge,2,0,2,1,c7_A,Agricultural Knowledge,9,1
0,BEV110,1,1,Forest-Savanna edge,2,0,2,1,c8_A,Agricultural Knowledge,4,1
0,BEV110,1,1,Forest-Savanna edge,2,0,2,1,c10_A,Maritime Knowledge,NA,1
0,BEV110,1,1,Forest-Savanna edge,2,0,2,1,d1_A,Supernatural,9,1
0,BEV110,1,1,Forest-Savanna edge,2,0,2,1,d2_A,Supernatural,1,1
0,BEV110,1,1,Forest-Savanna edge,2,0,2,1,d3_A,Supernatural,1,1
0,BEV110,1,1,Forest-Savanna edge,2,0,2,1,d4_A,Supernatural,1,1
0,BEV110,1,1,Forest-Savanna edge,2,0,2,1,d5_A,Food Taboos,1,1
0,BEV110,1,1,Forest-Savanna edge,2,0,2,1,d6_A,Food Taboos,1,1
0,BEV110,1,1,Forest-Savanna edge,2,0,2,1,d7_A,Food Taboos,0,1
0,BEV110,1,1,Forest-Savanna edge,2,0,2,1,d8_A,Food Taboos,0,1
0,BEV110,1,1,Forest-Savanna edge,2,0,2,1,d9_A,Food Taboos,0,1
0,BEV070,0,1,Forest-Savanna edge,2,0,0,0,b1_A,Social Organization & Gender,1,1
0,BEV070,0,1,Forest-Savanna edge,2,0,0,0,b2_A,Social Organization & Gender,1,1
0,BEV070,0,1,Forest-Savanna edge,2,0,0,0,b3_A,Social Organization & Gender,1,1
0,BEV070,0,1,Forest-Savanna edge,2,0,0,0,b4_A,Social Organization & Gender,0,1
0,BEV070,0,1,Forest-Savanna edge,2,0,0,0,b5_A,Social Organization & Gender,0,1
0,BEV070,0,1,Forest-Savanna edge,2,0,0,0,b6_A,Social Organization & Gender,1,1
0,BEV070,0,1,Forest-Savanna edge,2,0,0,0,b7_A,Social Organization & Gender,1,1
0,BEV070,0,1,Forest-Savanna edge,2,0,0,0,b8_A,Social Organization & Gender,1,1
0,BEV070,0,1,Forest-Savanna edge,2,0,0,0,b9_A,Social Organization & Gender,0,1
0,BEV070,0,1,Forest-Savanna edge,2,0,0,0,b10_A,Social Organization & Gender,1,1
0,BEV070,0,1,Forest-Savanna edge,2,0,0,0,b11_A,Social Organization & Gender,0,1
0,BEV070,0,1,Forest-Savanna edge,2,0,0,0,b13_A,Social Organization & Gender,NA,1
0,BEV070,0,1,Forest-Savanna edge,2,0,0,0,c1_A,Foraging Knowledge,0,1
0,BEV070,0,1,Forest-Savanna edge,2,0,0,0,c2_A,Foraging Knowledge,1,1
0,BEV070,0,1,Forest-Savanna edge,2,0,0,0,c3_A,Foraging Knowledge,0,1
0,BEV070,0,1,Forest-Savanna edge,2,0,0,0,c5_A,Maritime Knowledge,NA,1
0,BEV070,0,1,Forest-Savanna edge,2,0,0,0,c6_A,Agricultural Knowledge,4.5,1
0,BEV070,0,1,Forest-Savanna edge,2,0,0,0,c7_A,Agricultural Knowledge,9,1
0,BEV070,0,1,Forest-Savanna edge,2,0,0,0,c8_A,Agricultural Knowledge,9,1
0,BEV070,0,1,Forest-Savanna edge,2,0,0,0,c10_A,Maritime Knowledge,NA,1
0,BEV070,0,1,Forest-Savanna edge,2,0,0,0,d1_A,Supernatural,0,1
0,BEV070,0,1,Forest-Savanna edge,2,0,0,0,d2_A,Supernatural,1,1
0,BEV070,0,1,Forest-Savanna edge,2,0,0,0,d3_A,Supernatural,0,1
0,BEV070,0,1,Forest-Savanna edge,2,0,0,0,d4_A,Supernatural,1,1
0,BEV070,0,1,Forest-Savanna edge,2,0,0,0,d5_A,Food Taboos,0,1
0,BEV070,0,1,Forest-Savanna edge,2,0,0,0,d6_A,Food Taboos,0,1
0,BEV070,0,1,Forest-Savanna edge,2,0,0,0,d7_A,Food Taboos,1,1
0,BEV070,0,1,Forest-Savanna edge,2,0,0,0,d8_A,Food Taboos,0,1
0,BEV070,0,1,Forest-Savanna edge,2,0,0,0,d9_A,Food Taboos,0,1
0,BEV038,0,0,Forest-Savanna edge,2,0,0,0,b1_A,Social Organization & Gender,1,1
0,BEV038,0,0,Forest-Savanna edge,2,0,0,0,b2_A,Social Organization & Gender,1,1
0,BEV038,0,0,Forest-Savanna edge,2,0,0,0,b3_A,Social Organization & Gender,1,1
0,BEV038,0,0,Forest-Savanna edge,2,0,0,0,b4_A,Social Organization & Gender,1,1
0,BEV038,0,0,Forest-Savanna edge,2,0,0,0,b5_A,Social Organization & Gender,0,1
0,BEV038,0,0,Forest-Savanna edge,2,0,0,0,b6_A,Social Organization & Gender,1,1
0,BEV038,0,0,Forest-Savanna edge,2,0,0,0,b7_A,Social Organization & Gender,1,1
0,BEV038,0,0,Forest-Savanna edge,2,0,0,0,b8_A,Social Organization & Gender,1,1
0,BEV038,0,0,Forest-Savanna edge,2,0,0,0,b9_A,Social Organization & Gender,0,1
0,BEV038,0,0,Forest-Savanna edge,2,0,0,0,b10_A,Social Organization & Gender,1,1
0,BEV038,0,0,Forest-Savanna edge,2,0,0,0,b11_A,Social Organization & Gender,0,1
0,BEV038,0,0,Forest-Savanna edge,2,0,0,0,b13_A,Social Organization & Gender,NA,1
0,BEV038,0,0,Forest-Savanna edge,2,0,0,0,c1_A,Foraging Knowledge,1,1
0,BEV038,0,0,Forest-Savanna edge,2,0,0,0,c2_A,Foraging Knowledge,0,1
0,BEV038,0,0,Forest-Savanna edge,2,0,0,0,c3_A,Foraging Knowledge,0,1
0,BEV038,0,0,Forest-Savanna edge,2,0,0,0,c5_A,Maritime Knowledge,NA,1
0,BEV038,0,0,Forest-Savanna edge,2,0,0,0,c6_A,Agricultural Knowledge,4,1
0,BEV038,0,0,Forest-Savanna edge,2,0,0,0,c7_A,Agricultural Knowledge,9,1
0,BEV038,0,0,Forest-Savanna edge,2,0,0,0,c8_A,Agricultural Knowledge,2,1
0,BEV038,0,0,Forest-Savanna edge,2,0,0,0,c10_A,Maritime Knowledge,NA,1
0,BEV038,0,0,Forest-Savanna edge,2,0,0,0,d1_A,Supernatural,1,1
0,BEV038,0,0,Forest-Savanna edge,2,0,0,0,d2_A,Supernatural,1,1
0,BEV038,0,0,Forest-Savanna edge,2,0,0,0,d3_A,Supernatural,1,1
0,BEV038,0,0,Forest-Savanna edge,2,0,0,0,d4_A,Supernatural,1,1
0,BEV038,0,0,Forest-Savanna edge,2,0,0,0,d5_A,Food Taboos,0,1
0,BEV038,0,0,Forest-Savanna edge,2,0,0,0,d6_A,Food Taboos,0,1
0,BEV038,0,0,Forest-Savanna edge,2,0,0,0,d7_A,Food Taboos,0,1
0,BEV038,0,0,Forest-Savanna edge,2,0,0,0,d8_A,Food Taboos,0,1
0,BEV038,0,0,Forest-Savanna edge,2,0,0,0,d9_A,Food Taboos,0,1
0,BEV114,1,2,Savanna,2,0,2,0,b1_A,Social Organization & Gender,1,1
0,BEV114,1,2,Savanna,2,0,2,0,b2_A,Social Organization & Gender,1,1
0,BEV114,1,2,Savanna,2,0,2,0,b3_A,Social Organization & Gender,1,1
0,BEV114,1,2,Savanna,2,0,2,0,b4_A,Social Organization & Gender,1,1
0,BEV114,1,2,Savanna,2,0,2,0,b5_A,Social Organization & Gender,1,1
0,BEV114,1,2,Savanna,2,0,2,0,b6_A,Social Organization & Gender,1,1
0,BEV114,1,2,Savanna,2,0,2,0,b7_A,Social Organization & Gender,1,1
0,BEV114,1,2,Savanna,2,0,2,0,b8_A,Social Organization & Gender,1,1
0,BEV114,1,2,Savanna,2,0,2,0,b9_A,Social Organization & Gender,1,1
0,BEV114,1,2,Savanna,2,0,2,0,b10_A,Social Organization & Gender,1,1
0,BEV114,1,2,Savanna,2,0,2,0,b11_A,Social Organization & Gender,1,1
0,BEV114,1,2,Savanna,2,0,2,0,b13_A,Social Organization & Gender,NA,1
0,BEV114,1,2,Savanna,2,0,2,0,c1_A,Foraging Knowledge,1,1
0,BEV114,1,2,Savanna,2,0,2,0,c2_A,Foraging Knowledge,0,1
0,BEV114,1,2,Savanna,2,0,2,0,c3_A,Foraging Knowledge,0,1
0,BEV114,1,2,Savanna,2,0,2,0,c5_A,Maritime Knowledge,NA,1
0,BEV114,1,2,Savanna,2,0,2,0,c6_A,Agricultural Knowledge,5,1
0,BEV114,1,2,Savanna,2,0,2,0,c7_A,Agricultural Knowledge,9,1
0,BEV114,1,2,Savanna,2,0,2,0,c8_A,Agricultural Knowledge,0,1
0,BEV114,1,2,Savanna,2,0,2,0,c10_A,Maritime Knowledge,NA,1
0,BEV114,1,2,Savanna,2,0,2,0,d1_A,Supernatural,0,1
0,BEV114,1,2,Savanna,2,0,2,0,d2_A,Supernatural,0,1
0,BEV114,1,2,Savanna,2,0,2,0,d3_A,Supernatural,0,1
0,BEV114,1,2,Savanna,2,0,2,0,d4_A,Supernatural,0,1
0,BEV114,1,2,Savanna,2,0,2,0,d5_A,Food Taboos,1,1
0,BEV114,1,2,Savanna,2,0,2,0,d6_A,Food Taboos,0,1
0,BEV114,1,2,Savanna,2,0,2,0,d7_A,Food Taboos,0,1
0,BEV114,1,2,Savanna,2,0,2,0,d8_A,Food Taboos,0,1
0,BEV114,1,2,Savanna,2,0,2,0,d9_A,Food Taboos,1,1
0,BEV007,0,2,Forest-Savanna edge,2,1,1,0,b1_A,Social Organization & Gender,1,1
0,BEV007,0,2,Forest-Savanna edge,2,1,1,0,b2_A,Social Organization & Gender,1,1
0,BEV007,0,2,Forest-Savanna edge,2,1,1,0,b3_A,Social Organization & Gender,1,1
0,BEV007,0,2,Forest-Savanna edge,2,1,1,0,b4_A,Social Organization & Gender,0,1
0,BEV007,0,2,Forest-Savanna edge,2,1,1,0,b5_A,Social Organization & Gender,0,1
0,BEV007,0,2,Forest-Savanna edge,2,1,1,0,b6_A,Social Organization & Gender,1,1
0,BEV007,0,2,Forest-Savanna edge,2,1,1,0,b7_A,Social Organization & Gender,1,1
0,BEV007,0,2,Forest-Savanna edge,2,1,1,0,b8_A,Social Organization & Gender,1,1
0,BEV007,0,2,Forest-Savanna edge,2,1,1,0,b9_A,Social Organization & Gender,0,1
0,BEV007,0,2,Forest-Savanna edge,2,1,1,0,b10_A,Social Organization & Gender,1,1
0,BEV007,0,2,Forest-Savanna edge,2,1,1,0,b11_A,Social Organization & Gender,1,1
0,BEV007,0,2,Forest-Savanna edge,2,1,1,0,b13_A,Social Organization & Gender,NA,1
0,BEV007,0,2,Forest-Savanna edge,2,1,1,0,c1_A,Foraging Knowledge,1,1
0,BEV007,0,2,Forest-Savanna edge,2,1,1,0,c2_A,Foraging Knowledge,0,1
0,BEV007,0,2,Forest-Savanna edge,2,1,1,0,c3_A,Foraging Knowledge,0,1
0,BEV007,0,2,Forest-Savanna edge,2,1,1,0,c5_A,Maritime Knowledge,NA,1
0,BEV007,0,2,Forest-Savanna edge,2,1,1,0,c6_A,Agricultural Knowledge,5,1
0,BEV007,0,2,Forest-Savanna edge,2,1,1,0,c7_A,Agricultural Knowledge,NA,1
0,BEV007,0,2,Forest-Savanna edge,2,1,1,0,c8_A,Agricultural Knowledge,2,1
0,BEV007,0,2,Forest-Savanna edge,2,1,1,0,c10_A,Maritime Knowledge,NA,1
0,BEV007,0,2,Forest-Savanna edge,2,1,1,0,d1_A,Supernatural,1,1
0,BEV007,0,2,Forest-Savanna edge,2,1,1,0,d2_A,Supernatural,1,1
0,BEV007,0,2,Forest-Savanna edge,2,1,1,0,d3_A,Supernatural,1,1
0,BEV007,0,2,Forest-Savanna edge,2,1,1,0,d4_A,Supernatural,0,1
0,BEV007,0,2,Forest-Savanna edge,2,1,1,0,d5_A,Food Taboos,0,1
0,BEV007,0,2,Forest-Savanna edge,2,1,1,0,d6_A,Food Taboos,0,1
0,BEV007,0,2,Forest-Savanna edge,2,1,1,0,d7_A,Food Taboos,NA,1
0,BEV007,0,2,Forest-Savanna edge,2,1,1,0,d8_A,Food Taboos,0,1
0,BEV007,0,2,Forest-Savanna edge,2,1,1,0,d9_A,Food Taboos,0,1
0,BEV030,1,0,Forest-Savanna edge,2,0,0,0,b1_A,Social Organization & Gender,1,1
0,BEV030,1,0,Forest-Savanna edge,2,0,0,0,b2_A,Social Organization & Gender,1,1
0,BEV030,1,0,Forest-Savanna edge,2,0,0,0,b3_A,Social Organization & Gender,1,1
0,BEV030,1,0,Forest-Savanna edge,2,0,0,0,b4_A,Social Organization & Gender,1,1
0,BEV030,1,0,Forest-Savanna edge,2,0,0,0,b5_A,Social Organization & Gender,1,1
0,BEV030,1,0,Forest-Savanna edge,2,0,0,0,b6_A,Social Organization & Gender,1,1
0,BEV030,1,0,Forest-Savanna edge,2,0,0,0,b7_A,Social Organization & Gender,1,1
0,BEV030,1,0,Forest-Savanna edge,2,0,0,0,b8_A,Social Organization & Gender,1,1
0,BEV030,1,0,Forest-Savanna edge,2,0,0,0,b9_A,Social Organization & Gender,1,1
0,BEV030,1,0,Forest-Savanna edge,2,0,0,0,b10_A,Social Organization & Gender,1,1
0,BEV030,1,0,Forest-Savanna edge,2,0,0,0,b11_A,Social Organization & Gender,1,1
0,BEV030,1,0,Forest-Savanna edge,2,0,0,0,b13_A,Social Organization & Gender,NA,1
0,BEV030,1,0,Forest-Savanna edge,2,0,0,0,c1_A,Foraging Knowledge,1,1
0,BEV030,1,0,Forest-Savanna edge,2,0,0,0,c2_A,Foraging Knowledge,0,1
0,BEV030,1,0,Forest-Savanna edge,2,0,0,0,c3_A,Foraging Knowledge,0,1
0,BEV030,1,0,Forest-Savanna edge,2,0,0,0,c5_A,Maritime Knowledge,NA,1
0,BEV030,1,0,Forest-Savanna edge,2,0,0,0,c6_A,Agricultural Knowledge,5,1
0,BEV030,1,0,Forest-Savanna edge,2,0,0,0,c7_A,Agricultural Knowledge,1,1
0,BEV030,1,0,Forest-Savanna edge,2,0,0,0,c8_A,Agricultural Knowledge,0,1
0,BEV030,1,0,Forest-Savanna edge,2,0,0,0,c10_A,Maritime Knowledge,NA,1
0,BEV030,1,0,Forest-Savanna edge,2,0,0,0,d1_A,Supernatural,9,1
0,BEV030,1,0,Forest-Savanna edge,2,0,0,0,d2_A,Supernatural,0,1
0,BEV030,1,0,Forest-Savanna edge,2,0,0,0,d3_A,Supernatural,0,1
0,BEV030,1,0,Forest-Savanna edge,2,0,0,0,d4_A,Supernatural,1,1
0,BEV030,1,0,Forest-Savanna edge,2,0,0,0,d5_A,Food Taboos,1,1
0,BEV030,1,0,Forest-Savanna edge,2,0,0,0,d6_A,Food Taboos,0,1
0,BEV030,1,0,Forest-Savanna edge,2,0,0,0,d7_A,Food Taboos,0,1
0,BEV030,1,0,Forest-Savanna edge,2,0,0,0,d8_A,Food Taboos,0,1
0,BEV030,1,0,Forest-Savanna edge,2,0,0,0,d9_A,Food Taboos,1,1
0,BEV058,1,2,Forest-Savanna edge,2,0,0,0,b1_A,Social Organization & Gender,1,1
0,BEV058,1,2,Forest-Savanna edge,2,0,0,0,b2_A,Social Organization & Gender,1,1
0,BEV058,1,2,Forest-Savanna edge,2,0,0,0,b3_A,Social Organization & Gender,1,1
0,BEV058,1,2,Forest-Savanna edge,2,0,0,0,b4_A,Social Organization & Gender,1,1
0,BEV058,1,2,Forest-Savanna edge,2,0,0,0,b5_A,Social Organization & Gender,0,1
0,BEV058,1,2,Forest-Savanna edge,2,0,0,0,b6_A,Social Organization & Gender,1,1
0,BEV058,1,2,Forest-Savanna edge,2,0,0,0,b7_A,Social Organization & Gender,1,1
0,BEV058,1,2,Forest-Savanna edge,2,0,0,0,b8_A,Social Organization & Gender,1,1
0,BEV058,1,2,Forest-Savanna edge,2,0,0,0,b9_A,Social Organization & Gender,0,1
0,BEV058,1,2,Forest-Savanna edge,2,0,0,0,b10_A,Social Organization & Gender,1,1
0,BEV058,1,2,Forest-Savanna edge,2,0,0,0,b11_A,Social Organization & Gender,0,1
0,BEV058,1,2,Forest-Savanna edge,2,0,0,0,b13_A,Social Organization & Gender,NA,1
0,BEV058,1,2,Forest-Savanna edge,2,0,0,0,c1_A,Foraging Knowledge,1,1
0,BEV058,1,2,Forest-Savanna edge,2,0,0,0,c2_A,Foraging Knowledge,0,1
0,BEV058,1,2,Forest-Savanna edge,2,0,0,0,c3_A,Foraging Knowledge,1,1
0,BEV058,1,2,Forest-Savanna edge,2,0,0,0,c5_A,Maritime Knowledge,NA,1
0,BEV058,1,2,Forest-Savanna edge,2,0,0,0,c6_A,Agricultural Knowledge,5,1
0,BEV058,1,2,Forest-Savanna edge,2,0,0,0,c7_A,Agricultural Knowledge,9,1
0,BEV058,1,2,Forest-Savanna edge,2,0,0,0,c8_A,Agricultural Knowledge,1,1
0,BEV058,1,2,Forest-Savanna edge,2,0,0,0,c10_A,Maritime Knowledge,NA,1
0,BEV058,1,2,Forest-Savanna edge,2,0,0,0,d1_A,Supernatural,9,1
0,BEV058,1,2,Forest-Savanna edge,2,0,0,0,d2_A,Supernatural,1,1
0,BEV058,1,2,Forest-Savanna edge,2,0,0,0,d3_A,Supernatural,1,1
0,BEV058,1,2,Forest-Savanna edge,2,0,0,0,d4_A,Supernatural,0,1
0,BEV058,1,2,Forest-Savanna edge,2,0,0,0,d5_A,Food Taboos,0,1
0,BEV058,1,2,Forest-Savanna edge,2,0,0,0,d6_A,Food Taboos,0,1
0,BEV058,1,2,Forest-Savanna edge,2,0,0,0,d7_A,Food Taboos,0,1
0,BEV058,1,2,Forest-Savanna edge,2,0,0,0,d8_A,Food Taboos,1,1
0,BEV058,1,2,Forest-Savanna edge,2,0,0,0,d9_A,Food Taboos,0,1
0,BEV057,1,0,Forest-Savanna edge,2,0,0,0,b1_A,Social Organization & Gender,0,1
0,BEV057,1,0,Forest-Savanna edge,2,0,0,0,b2_A,Social Organization & Gender,1,1
0,BEV057,1,0,Forest-Savanna edge,2,0,0,0,b3_A,Social Organization & Gender,1,1
0,BEV057,1,0,Forest-Savanna edge,2,0,0,0,b4_A,Social Organization & Gender,0,1
0,BEV057,1,0,Forest-Savanna edge,2,0,0,0,b5_A,Social Organization & Gender,0,1
0,BEV057,1,0,Forest-Savanna edge,2,0,0,0,b6_A,Social Organization & Gender,1,1
0,BEV057,1,0,Forest-Savanna edge,2,0,0,0,b7_A,Social Organization & Gender,1,1
0,BEV057,1,0,Forest-Savanna edge,2,0,0,0,b8_A,Social Organization & Gender,1,1
0,BEV057,1,0,Forest-Savanna edge,2,0,0,0,b9_A,Social Organization & Gender,0,1
0,BEV057,1,0,Forest-Savanna edge,2,0,0,0,b10_A,Social Organization & Gender,1,1
0,BEV057,1,0,Forest-Savanna edge,2,0,0,0,b11_A,Social Organization & Gender,0,1
0,BEV057,1,0,Forest-Savanna edge,2,0,0,0,b13_A,Social Organization & Gender,NA,1
0,BEV057,1,0,Forest-Savanna edge,2,0,0,0,c1_A,Foraging Knowledge,1,1
0,BEV057,1,0,Forest-Savanna edge,2,0,0,0,c2_A,Foraging Knowledge,0,1
0,BEV057,1,0,Forest-Savanna edge,2,0,0,0,c3_A,Foraging Knowledge,0,1
0,BEV057,1,0,Forest-Savanna edge,2,0,0,0,c5_A,Maritime Knowledge,NA,1
0,BEV057,1,0,Forest-Savanna edge,2,0,0,0,c6_A,Agricultural Knowledge,4,1
0,BEV057,1,0,Forest-Savanna edge,2,0,0,0,c7_A,Agricultural Knowledge,9,1
0,BEV057,1,0,Forest-Savanna edge,2,0,0,0,c8_A,Agricultural Knowledge,2,1
0,BEV057,1,0,Forest-Savanna edge,2,0,0,0,c10_A,Maritime Knowledge,NA,1
0,BEV057,1,0,Forest-Savanna edge,2,0,0,0,d1_A,Supernatural,1,1
0,BEV057,1,0,Forest-Savanna edge,2,0,0,0,d2_A,Supernatural,1,1
0,BEV057,1,0,Forest-Savanna edge,2,0,0,0,d3_A,Supernatural,1,1
0,BEV057,1,0,Forest-Savanna edge,2,0,0,0,d4_A,Supernatural,0,1
0,BEV057,1,0,Forest-Savanna edge,2,0,0,0,d5_A,Food Taboos,1,1
0,BEV057,1,0,Forest-Savanna edge,2,0,0,0,d6_A,Food Taboos,1,1
0,BEV057,1,0,Forest-Savanna edge,2,0,0,0,d7_A,Food Taboos,0,1
0,BEV057,1,0,Forest-Savanna edge,2,0,0,0,d8_A,Food Taboos,0,1
0,BEV057,1,0,Forest-Savanna edge,2,0,0,0,d9_A,Food Taboos,1,1
0,BEV117,0,0,Forest-Savanna edge,2,0,0,0,b1_A,Social Organization & Gender,1,1
0,BEV117,0,0,Forest-Savanna edge,2,0,0,0,b2_A,Social Organization & Gender,1,1
0,BEV117,0,0,Forest-Savanna edge,2,0,0,0,b3_A,Social Organization & Gender,1,1
0,BEV117,0,0,Forest-Savanna edge,2,0,0,0,b4_A,Social Organization & Gender,1,1
0,BEV117,0,0,Forest-Savanna edge,2,0,0,0,b5_A,Social Organization & Gender,1,1
0,BEV117,0,0,Forest-Savanna edge,2,0,0,0,b6_A,Social Organization & Gender,0,1
0,BEV117,0,0,Forest-Savanna edge,2,0,0,0,b7_A,Social Organization & Gender,NA,1
0,BEV117,0,0,Forest-Savanna edge,2,0,0,0,b8_A,Social Organization & Gender,1,1
0,BEV117,0,0,Forest-Savanna edge,2,0,0,0,b9_A,Social Organization & Gender,0,1
0,BEV117,0,0,Forest-Savanna edge,2,0,0,0,b10_A,Social Organization & Gender,1,1
